函数,作用,<string>,<vector>,<deque>,<list>,<set>,<map>
.at(),,✓,✓,✓,✓,,
.front(),返回头引用,✓,✓,✓,✓,,
.back(),返回尾引用,✓,✓,✓,✓,,
.begin(),返回头指针,✓,✓,✓,✓,✓,
.end(),返回尾指针,✓,✓,✓,✓,✓,
.find(),查找,✓,,,,✓,✓
